food_code,food_name,data_pid,data_pid_name,serving_size(g),calorie_kcal,carbohydrate_g,protein_g,fat_g,sugar_g,saturated_fat_g,trans_fat_g,sodium_mg,cholesterol_mg,dietary_fiber_g,vitamin_a_μg,vitamin_c_mg,vitamin_d_ug,calcium_mg,iron_mg
R211-059094029-5928,다랑어류_황다랑어_육_기름담금 통조림_수입_6월,R,원재료성 식품,100.0,163,1.3,18.8,8.3,,,,,,,,,,34.0,1.7
R211-059094001-1203,다랑어류_황다랑어_육_생것_부산_8월,R,원재료성 식품,100.0,114,0.2,23.9,1.3,0.2,,,,,0.0,9.0,2.0,,19.0,1.6
R211-059094001-7079,다랑어류_황다랑어_육_생것_수입_평균,R,원재료성 식품,100.0,104,0.0,23.4,1.0,,0.24,2.0,37.0,45.0,0.0,18.0,1.0,2.1,16.0,0.73
R211-059094049-7079,다랑어류_황다랑어_육_찐것_수입_평균,R,원재료성 식품,100.0,124,0.0,27.8,1.2,,0.28,,37.0,54.0,0.0,18.0,1.0,2.0,19.0,0.87
R211-477014001-0530,다슬기류_곳체다슬기_육_생것_경기_11월,R,원재료성 식품,100.0,78,5.7,11.6,0.6,5.7,,,,,0.0,,,,1117.0,3.3
R211-477014001-0000,다슬기류_곳체다슬기_육_생것_대표_평균,R,원재료성 식품,100.0,79,4.0,11.6,0.6,,,,,,,,,,195.0,1.1
R211-477014001-0946,다슬기류_곳체다슬기_육_생것_문경_11월,R,원재료성 식품,100.0,78,4.0,11.6,0.6,,,,,,,,,,195.0,1.1
R211-477034001-0530,다슬기류_다슬기_육_생것_경기_11월,R,원재료성 식품,100.0,78,5.7,11.9,1.2,,,,,,,,,,1117.0,3.3
R211-477034001-0011,다슬기류_다슬기_육_생것_대표_11월,R,원재료성 식품,100.0,80,1.85,13.24,1.73,,,,,,,,,,,
R211-477034001-0000,다슬기류_다슬기_육_생것_대표_평균,R,원재료성 식품,100.0,93,6.86,12.02,1.47,,,,,,,,,,,
R211-477034001-0946,다슬기류_다슬기_육_생것_문경_11월,R,원재료성 식품,100.0,78,4.0,11.9,1.2,4.0,,,,,0.0,,,,195.0,1.1
R211-477034001-0822,다슬기류_다슬기_육_생것_춘천_4월,R,원재료성 식품,100.0,84,4.4,12.66,1.32,,,,,,,,,,,
R211-477033901-0649,다슬기류_다슬기_전체_생것_진안_평균,R,원재료성 식품,100.0,66,2.31,10.81,1.2,,0.14,,179.0,115.81,,75.0,,,70.0,3.1
R211-477054001-0011,다슬기류_띠구슬다슬기_육_생것_대표_11월,R,원재료성 식품,100.0,117,9.8,16.9,0.6,9.8,,,,,0.0,,,,469.0,6.4
R211-477074001-0011,다슬기류_염주알다슬기_육_생것_대표_11월,R,원재료성 식품,100.0,113,11.2,12.7,1.4,11.2,,,,,0.0,,,,1098.0,11.2
R211-477094001-0478,다슬기류_좀주름다슬기_육_생것_영암_11월,R,원재료성 식품,100.0,88,6.0,14.0,0.5,6.0,,,,,0.0,,,,865.0,1.7
R211-477114001-0946,다슬기류_주름다슬기_육_생것_문경_11월,R,원재료성 식품,100.0,98,5.6,14.2,1.6,5.6,,,,,0.0,,,,989.0,8.2
R211-477134001-0011,다슬기류_참다슬기_육_생것_대표_11월,R,원재료성 식품,100.0,76,4.9,12.3,0.4,4.9,,,,,0.0,,,,623.0,2.4
R112-819015102-1273,다시마류_다시마_줄기_말린것_강릉_평균,R,원재료성 식품,100.0,110,45.2,7.4,1.1,41.1,,,,,4.1,,18.0,,708.0,6.3
R112-819015101-0000,다시마류_다시마_줄기_생것_대표_평균,R,원재료성 식품,100.0,12,4.2,1.1,0.2,3.6,,,,,0.6,,14.0,,103.0,2.4
R112-819015121-0000,다시마류_다시마_줄기_소금에 절여 저장한것_대표_평균,R,원재료성 식품,100.0,18,6.0,1.2,0.3,,,,10854.0,,,10.0,0.0,,145.0,1.4
R112-819015124-0000,다시마류_다시마_줄기_추출_대표_평균,R,원재료성 식품,100.0,1,0.3,0.1,0.0,,,,31.0,,,0.0,0.0,,2.0,0.0
R112-819015154-0000,다시마류_다시마_줄기_튀긴것_대표_평균,R,원재료성 식품,100.0,253,58.8,3.6,23.0,,,,1383.0,,,43.0,17.0,,240.0,5.0
R112-819053902-0318,다시마류_용다시마_전체_말린것_해남_7월,R,원재료성 식품,100.0,158,61.83,13.44,0.5,,,,,,,,,,,
R112-819053901-1261,다시마류_용다시마_전체_생것_강릉_1월,R,원재료성 식품,100.0,11,3.78,1.08,0.29,,,,,,,,,,,
R112-819053901-0318,다시마류_용다시마_전체_생것_해남_7월,R,원재료성 식품,100.0,24,9.47,2.03,0.21,,0.04,,234.0,3.47,,14.0,,,153.0,2.24
R112-819033902-0318,다시마류_참다시마_전체_말린것_해남_7월,R,원재료성 식품,100.0,145,57.3,11.46,0.74,,,,,,,,,,,
